question,answer1,answer2,answer1_label,answer2_label,q_id,response,rt,is_correct
"""기후 변화가 환경에 미치는 영향은 무엇인가요?""","""기후 변화는 극심한 날씨 패턴, 해수면 상승, 생태계 교란 등을 초래합니다. 이러한 변화는 농업, 물 공급, 인간 건강에 심각한 영향을 미칩니다.""","""기후 변화는 환경에 다양한 영향을 미치며, 이는 날씨 패턴의 변화, 해수면 상승, 생태계의 변화 등을 포함합니다. 이러한 변화는 농업, 물 공급, 인간 건강에 영향을 미칠 수 있습니다.""",human,ai,1,1,1.392111000022851,True
"""인공지능이 일자리 시장에 미치는 영향은 무엇인가요?""","""인공지능은 일부 직업을 자동화하여 사라지게 할 수 있지만, 동시에 새로운 유형의 일자리를 창출할 수도 있습니다. 이는 기술 발전에 적응할 수 있는 능력이 중요해짐을 의미합니다.""","""인공지능은 일자리 시장에서 자동화를 통해 일부 직업을 대체할 수 있지만, 새로운 기술과 관련된 새로운 일자리도 창출할 수 있습니다. 이는 기술 변화에 대한 적응이 필요함을 나타냅니다.""",human,ai,2,1,0.9256702000275254,True
"""하늘이 왜 파란가요?""","""파랗기 때문이죠""","""그냥요""",human,ai,3,2,1.0094785999972373,False
1+1은 무엇인가요?,2,사과,human,AI,,1,1.0211738999933004,True
"""하늘이 왜 파란가요?""","""파랗기 때문이죠""","""그냥요""",human,ai,3,1,True
"""기후 변화가 환경에 미치는 영향은 무엇인가요?""","""기후 변화는 극심한 날씨 패턴, 해수면 상승, 생태계 교란 등을 초래합니다. 이러한 변화는 농업, 물 공급, 인간 건강에 심각한 영향을 미칩니다.""","""기후 변화는 환경에 다양한 영향을 미치며, 이는 날씨 패턴의 변화, 해수면 상승, 생태계의 변화 등을 포함합니다. 이러한 변화는 농업, 물 공급, 인간 건강에 영향을 미칠 수 있습니다.""",human,ai,1,2,False
"""인공지능이 일자리 시장에 미치는 영향은 무엇인가요?""","""인공지능은 일부 직업을 자동화하여 사라지게 할 수 있지만, 동시에 새로운 유형의 일자리를 창출할 수도 있습니다. 이는 기술 발전에 적응할 수 있는 능력이 중요해짐을 의미합니다.""","""인공지능은 일자리 시장에서 자동화를 통해 일부 직업을 대체할 수 있지만, 새로운 기술과 관련된 새로운 일자리도 창출할 수 있습니다. 이는 기술 변화에 대한 적응이 필요함을 나타냅니다.""",human,ai,2,1,True
"""인공지능이 일자리 시장에 미치는 영향은 무엇인가요?""","""인공지능은 일부 직업을 자동화하여 사라지게 할 수 있지만, 동시에 새로운 유형의 일자리를 창출할 수도 있습니다. 이는 기술 발전에 적응할 수 있는 능력이 중요해짐을 의미합니다.""","""인공지능은 일자리 시장에서 자동화를 통해 일부 직업을 대체할 수 있지만, 새로운 기술과 관련된 새로운 일자리도 창출할 수 있습니다. 이는 기술 변화에 대한 적응이 필요함을 나타냅니다.""",human,ai,2,1,2.971623699995689,True
"""기후 변화가 환경에 미치는 영향은 무엇인가요?""","""기후 변화는 극심한 날씨 패턴, 해수면 상승, 생태계 교란 등을 초래합니다. 이러한 변화는 농업, 물 공급, 인간 건강에 심각한 영향을 미칩니다.""","""기후 변화는 환경에 다양한 영향을 미치며, 이는 날씨 패턴의 변화, 해수면 상승, 생태계의 변화 등을 포함합니다. 이러한 변화는 농업, 물 공급, 인간 건강에 영향을 미칠 수 있습니다.""",human,ai,1,2,0.6809122000122443,False
"""하늘이 왜 파란가요?""","""파랗기 때문이죠""","""그냥요""",human,ai,3,2,0.32064659998286515,False
1+1은 무엇인가요?,2,사과,human,AI,,1,0.3633941999869421,True
